product_id,brand_id,category_id,product_name,price,average_rating,highlight,description,ingredients,usage_instructions,product_url,product_image,brand,category,created_at,updated_at,deleted_at
1,,,Prisme Libre Highlighter (Holiday Limited Edition),RM231.00,,"[""NEW""]",,,,https://www.sephora.my/products/givenchy-prisme-libre-highlighter-holiday-limited-edition/v/n17,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3274872500785-GIVENCHY-Prisme-Libre-Highlighter-Li_e40f07763a99d52bacbad4cdf5f6d89c08ae1718_1761118060.png,GIVENCHY,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
2,,,Prisme Libre Loose Powder (Holiday Limited Edition),RM295.00,,"[""NEW""]",,,,https://www.sephora.my/products/givenchy-prisme-libre-loose-powder-holiday-limited-edition/v/n15,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3274872500778-GIVENCHY-Prisme-Libre-Loose-Powder-L_a63a6099deefa6ac48c4b2d0549eaa27b16918ed_1761118055.png,GIVENCHY,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
3,,,LE9 Eye Palette (Holiday Limited Edition),RM303.00,,"[""NEW""]",,,,https://www.sephora.my/products/givenchy-le9-eye-palette-holiday-limited-edition/v/le9,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3274872499614-GIVENCHY-Le-9-De-Givenchy-Limited-Ed_6c867b4baaaba22a406b3de4d499287012136cce_1761118045.png,GIVENCHY,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
4,,,Lip Velvet,RM144.00RM115.2020% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/anastasia-beverly-hills-lip-velvet/v/blackberry,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_689304195737-Anastasia-Beverly-Hills-Lip-Velvet-Bl_c4259eb4d18c678fea17c65a9aaf4a8efe7accd7_1728285949.png,Anastasia Beverly Hills,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
5,,,Original New Cream Lip Stain,RM67.00RM39.0040% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-original-new-cream-lip-stain/v/13-marvelous-mauve,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872212515-Sephora-collection-New-Cream-Lip-Sta_e99e7fac85f0672e9d6e8b7e82535d4fd5f83395_1724414294.png,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
6,,,On 'Til Dawn Mattifying Waterproof Setting Spray Set (Holiday Limited Edition),RM180.00,,"[""NEW | Only at Sephora""]",,,,https://www.sephora.my/products/one-size-on-til-dawn-mattifying-waterproof-setting-spray-set-holiday-limited-edition/v/default,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_810041817303-OneSize-On-Til-Dawn-Mattifying-Waterp_a44c1dfc32fc2bff0a7758bfdf5c69663a1eea65_1759404582.png,ONE/SIZE,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
7,,,Bundle of Joy Holiday Must-Have Value Set - MY (Holiday Limited Edition),RM160.00,,[],,,,https://www.sephora.my/products/sephora-favorites-bundle-of-joy-holiday-must-have-value-set-my-holiday-limited-edition/v/default,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3020258019316-Sephora-Collection-Bundle-of-Joy-Hol_3d4f74a03e3899130d8f1c35468559b078bce286_1760089355.png,Sephora Favorites,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
8,,,Soft Matte Complete Concealer,RM145.00,,[],,,,https://www.sephora.my/products/nars-soft-matte-complete-concealer/v/biscuit,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_607845012832-NARS-Soft-Matte-Complete-Concealer-Bi_ce294ed6881ffebff5bd527548320bf6d97e86c2_1713960372.png,NARS,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
9,,,Original Moisturizing Lip Balm - 8HR Hydrating Treatment,RM32.00RM16.0050% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-original-moisturizing-lip-balm-8hr-hydrating-treatment/v/lychee-nourishing-and-softening-tinted,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872189787-Sephora-Collection-Moisturizing-Lip-_7c6a680860ca2fbc37237db15ea1d18611f13bc8_1708924837.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
10,,,Vitamin Enriched Face Base - Moisturizer and Primer,RM485.00,,[],,,,https://www.sephora.my/products/bobbi-brown-vitamin-enriched-face-base-moisturizer-and-primer/v/100ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_716170272214-Bobbi-Brown-Vitamin-Enriched-Face-Bas_28a098280ca377fe80d2329aa1356d80b68e69fa_1724055239.png,Bobbi Brown,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
11,,,Best Skin Ever Matte Powder Foundation,RM98.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-best-skin-ever-matte-powder-foundation/v/04p-light,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872222927-Sephora-Collection-Best-Skin-Ever-Ma_e369ce7f0d8936347751f4c4720591c5499a1905_1732622652.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
12,,,Airbrush Flawless Mini Setting Spray Kit (Holiday Limited Edition),RM165.00,,[],,,,https://www.sephora.my/products/charlotte-tilbury-airbrush-flawless-mini-setting-spray-kit-holiday-limited-edition/v/default,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_5056446653633-Charlotte-Tilbury-Airbrush-Flawless-_166da31939a892d7247eae279702d81ba413838d_1759231152.png,Charlotte Tilbury,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
13,,,Major Headlines Double-Take Creme & Powder Blush,RM190.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/patrick-ta-major-headlines-double-take-creme-and-powder-blush/v/just-enough,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_843628140136-Patrick-Ta-Major-Headlines-Double-Tak_4635e22de2f49036569be13bb0884d7f7bcf0ce0_1711022577.png,Patrick Ta,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
14,,,Kindness Cafe Collector's Set (Holiday Limited Edition),RM240.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/tarte-kindness-cafe-collectors-set-holiday-limited-edition/v/default,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_197689041421-Tarte-Kindness-Cafe-Collectors-Makeup_681efa3ac4639084b1cd68a1a1c110549270f4c6_1759307073.png,tarte,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
15,,,Easy Bake Loose Powder Mini,RM125.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/huda-beauty-easy-bake-loose-powder-mini/v/banana-bread,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018406549-Huda-Beauty-Easy-Bake-Loose-Powder-M_47e51db030b1b001741c42a40c1451149f665ef8_1751022366.png,Huda Beauty,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
16,,,Original Best Skin Ever Perfect Natural Finish Longwear Foundation,RM95.00RM66.5030% OFF,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-original-best-skin-ever-perfect-natural-finish-longwear-foundation/v/34-dot-5-n,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872167990-Sephora-Collection-Best-Skin-Ever-Pe_6f008bac0c43cd24aff52ff78e3400ffacabf8c0_1708924137.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
